bandwidth_mhz,method,prediction_step,horizon_ms,nmse,nmse_db
1.4,GRU,1,25.0,0.03165407474847806,-14.995703764247112
1.4,GRU,2,50.0,0.12718430158114374,-8.955664905541521
1.4,GRU,3,75.0,0.3124262020131434,-5.05252550618885
1.4,GRU,4,100.0,0.5672030059743008,-2.4626147621252104
1.4,GRU,5,125.0,0.8584393502339297,-0.6629038284340527
1.4,persistence,1,25.0,0.16469180527942143,-7.833280098798437
1.4,persistence,2,50.0,0.6140264599403559,-2.1181291361699564
1.4,persistence,3,75.0,1.238573039972155,0.9292162248547352
1.4,persistence,4,100.0,1.8857312612319224,2.75479800766076
1.4,persistence,5,125.0,2.4129586338470066,3.8254987671774874
5.0,GRU,1,25.0,0.03106010475779555,-15.07797083840692
5.0,GRU,2,50.0,0.12331904596885236,-9.089698437579335
5.0,GRU,3,75.0,0.303554489602944,-5.1776333948230056
5.0,GRU,4,100.0,0.553120695475457,-2.5718009173397363
5.0,GRU,5,125.0,0.8381139035626171,-0.7669695472638532
5.0,persistence,1,25.0,0.164068013632226,-7.849760798674554
5.0,persistence,2,50.0,0.6122992903259664,-2.13036243924867
5.0,persistence,3,75.0,1.2360280765198615,0.9202833591392787
5.0,persistence,4,100.0,1.8820579552085788,2.746329927574169
5.0,persistence,5,125.0,2.4075216323043773,3.815701980803579
9.0,GRU,1,25.0,0.030937964985903565,-15.095082563916238
9.0,GRU,2,50.0,0.12309225391256748,-9.097692759791261
9.0,GRU,3,75.0,0.307728862571546,-5.118317684008949
9.0,GRU,4,100.0,0.5690508589859258,-2.4484891675103677
9.0,GRU,5,125.0,0.8613630441503984,-0.6481376510865096
9.0,persistence,1,25.0,0.16397877656456553,-7.852123581556768
9.0,persistence,2,50.0,0.612963084262619,-2.12565680104429
9.0,persistence,3,75.0,1.238890126681502,0.9303279185481851
9.0,persistence,4,100.0,1.8889554785635294,2.762217220075693
9.0,persistence,5,125.0,2.4200367682480675,3.8382196437957985
15.0,GRU,1,25.0,0.032739033115455514,-14.84934150789163
15.0,GRU,2,50.0,0.1273338803362904,-8.950560261546377
15.0,GRU,3,75.0,0.30606127808350136,-5.141916125079195
15.0,GRU,4,100.0,0.5530291544215858,-2.572519730883096
15.0,GRU,5,125.0,0.8432022626456523,-0.7406823674585156
15.0,persistence,1,25.0,0.16597460783091275,-7.799583488420408
15.0,persistence,2,50.0,0.6195001673621082,-2.079585719603467
15.0,persistence,3,75.0,1.25227911421067,0.9770113738215971
15.0,persistence,4,100.0,1.9160406060382178,2.824047087046667
15.0,persistence,5,125.0,2.4669930137517646,3.9216791961808872
