bandwidth_mhz,method,prediction_step,horizon_ms,nmse,nmse_db
1.4,GRU,1,25.0,1.0003831055791543,0.0016634877647509147
1.4,GRU,2,50.0,1.0008571676795945,0.0037210373843812217
1.4,GRU,3,75.0,1.0010806087208954,0.004690490209684552
1.4,GRU,4,100.0,1.0013143098040214,0.005704227213691788
1.4,GRU,5,125.0,1.0014118347901473,0.006127196309790935
1.4,persistence,1,25.0,0.15230500443517103,-8.17285826389022
1.4,persistence,2,50.0,0.566189692177072,-2.4703804149046307
1.4,persistence,3,75.0,1.1494238737665998,0.6048021327568517
1.4,persistence,4,100.0,1.7784150328188375,2.5003312076756226
1.4,persistence,5,125.0,2.326558942018118,3.667140596068579
5.0,GRU,1,25.0,1.0001466363310993,0.0006367868075302192
5.0,GRU,2,50.0,1.0005890907178063,0.002557635215197187
5.0,GRU,3,75.0,1.00075188374503,0.0032641626332996212
5.0,GRU,4,100.0,1.0010120388831794,0.004393006452453069
5.0,GRU,5,125.0,1.0009634157687142,0.004182047319460063
5.0,persistence,1,25.0,0.1535060603298432,-8.138744741551696
5.0,persistence,2,50.0,0.5715300048920842,-2.4296096453904323
5.0,persistence,3,75.0,1.1594097908817997,0.6423696354207089
5.0,persistence,4,100.0,1.7897833341201788,2.528004597556846
5.0,persistence,5,125.0,2.333504813696492,3.680087011113259
9.0,GRU,1,25.0,1.001276065368667,0.0055383485852328685
9.0,GRU,2,50.0,1.001499649357351,0.006508015754819288
9.0,GRU,3,75.0,1.0012361837082162,0.005365362027241201
9.0,GRU,4,100.0,1.0013560882378876,0.005885426709235623
9.0,GRU,5,125.0,1.0011387226144637,0.0049425958897236786
9.0,persistence,1,25.0,0.15484614215265627,-8.100996102147453
9.0,persistence,2,50.0,0.5781775373803412,-2.3793878499546564
9.0,persistence,3,75.0,1.17619345533888,0.7047875853981745
9.0,persistence,4,100.0,1.8181052317167423,2.596190165269148
9.0,persistence,5,125.0,2.3665677733471684,3.7411894623026862
15.0,GRU,1,25.0,1.0009095908240146,0.003948507265716401
15.0,GRU,2,50.0,1.0009056215166623,0.003931284414481357
15.0,GRU,3,75.0,1.0001457227539172,0.0006328197721397338
15.0,GRU,4,100.0,1.0006442713644232,0.002797134024218821
15.0,GRU,5,125.0,1.0004641374807342,0.00201525582556164
15.0,persistence,1,25.0,0.15682968839651543,-8.045717204378448
15.0,persistence,2,50.0,0.5843031178325558,-2.3336179629479514
15.0,persistence,3,75.0,1.187369641490031,0.7458594074811038
15.0,persistence,4,100.0,1.835512990271689,2.6375746243485687
15.0,persistence,5,125.0,2.385531605974334,3.775851749126846
