bandwidth_mhz,method,prediction_step,horizon_ms,nmse,nmse_db
1.4,GRU,1,25.0,0.7543705338476241,-1.2241528373481263
1.4,GRU,2,50.0,1.0231134972233575,0.0992381404813171
1.4,GRU,3,75.0,1.3419427147094352,1.2773397692343993
1.4,GRU,4,100.0,1.6380819631736856,2.1433562835449145
1.4,GRU,5,125.0,1.8548813963834276,2.683161454642991
1.4,persistence,1,25.0,0.14379712126589259,-8.422498081871554
1.4,persistence,2,50.0,0.5327097411248759,-2.7350936163810764
1.4,persistence,3,75.0,1.098182553361175,0.40674539865840087
1.4,persistence,4,100.0,1.7419584909634724,2.4103780201475846
1.4,persistence,5,125.0,2.325167100608031,3.6645416938263358
5.0,GRU,1,25.0,0.7576956151788061,-1.205052260264838
5.0,GRU,2,50.0,1.0243876833798615,0.10464348132668418
5.0,GRU,3,75.0,1.3397759756993648,1.270321859384802
5.0,GRU,4,100.0,1.625053427928159,2.1086764412900845
5.0,GRU,5,125.0,1.830463880336646,2.6256116357797077
5.0,persistence,1,25.0,0.14560845182697582,-8.368134157146969
5.0,persistence,2,50.0,0.5388022739008673,-2.685705800973163
5.0,persistence,3,75.0,1.1060440656279442,0.43772429932356965
5.0,persistence,4,100.0,1.7478263748451572,2.424982886005592
5.0,persistence,5,125.0,2.335519885131754,3.6838356931861127
9.0,GRU,1,25.0,0.7654707680505568,-1.1607138957282688
9.0,GRU,2,50.0,1.0310694644531966,0.13287925237405745
9.0,GRU,3,75.0,1.3329681891320893,1.248197852358805
9.0,GRU,4,100.0,1.5860786096845494,2.0032470814311583
9.0,GRU,5,125.0,1.7575503577469642,2.4490777737795613
9.0,persistence,1,25.0,0.15014387619745995,-8.234923763380394
9.0,persistence,2,50.0,0.556121877425388,-2.5483001976173334
9.0,persistence,3,75.0,1.1349425443681949,0.5497387624681402
9.0,persistence,4,100.0,1.779158126238793,2.5021454859045718
9.0,persistence,5,125.0,2.368012229847978,3.7438394101615913
15.0,GRU,1,25.0,0.7408315366536888,-1.302805383359059
15.0,GRU,2,50.0,1.0106812928208688,0.04614227212747046
15.0,GRU,3,75.0,1.3370978095860975,1.261631773516094
15.0,GRU,4,100.0,1.6438807167972918,2.1587030108956955
15.0,GRU,5,125.0,1.8754202624290919,2.730986039049173
15.0,persistence,1,25.0,0.15413793867857745,-8.120904532292448
15.0,persistence,2,50.0,0.5714854184840225,-2.429948462008352
15.0,persistence,3,75.0,1.1622183924830185,0.6528774400817406
15.0,persistence,4,100.0,1.813106179163542,2.584232380031519
15.0,persistence,5,125.0,2.405963458675387,3.8128902707026264
