bandwidth_mhz,prediction_step,horizon_ms,nmse,nmse_db
1.4,1,25.0,0.7373697211624168,-1.3231469993042702
1.4,2,50.0,1.0121197676984934,0.052319071410510044
1.4,3,75.0,1.3750356418048808,1.383139555034231
1.4,4,100.0,1.728309664863285,2.3762155856683185
1.4,5,125.0,2.0027970921572025,3.0163695217913937
5.0,1,25.0,1.2219095851289172,0.870390715920337
5.0,2,50.0,1.4170735160892851,1.5139238151331045
5.0,3,75.0,1.5992427362408879,2.039143868289222
5.0,4,100.0,1.7787262113685784,2.501091048897023
5.0,5,125.0,1.9344214945436682,2.865511092558627
